bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin,lam_P,lam_Q,mu_Vmax,mu_Vmin
3001001.0,1.0,20.78,5.89,0.0,0.0,301.0,0.998372,-22.3462,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001002.0,1.0,15.41,4.37,0.0,0.0,301.0,1.02291,-17.8585,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001003.0,1.0,0.0,0.0,0.0,0.0,301.0,1.0141,-17.5032,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001004.0,2.0,0.0,0.0,0.0,0.0,301.0,1.02005,-19.3247,230.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001005.0,1.0,0.0,0.0,0.0,0.0,301.0,1.01238,-15.9276,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001006.0,2.0,0.0,0.0,0.0,0.0,301.0,1.00599,-13.7815,13.8,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001007.0,1.0,7.01,1.99,0.0,-0.77,301.0,1.03,-18.2162,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001008.0,1.0,0.0,0.0,0.0,0.0,301.0,1.02615,-8.58995,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001009.0,2.0,0.0,0.0,0.0,0.0,301.0,1.0162,-5.33886,13.8,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001010.0,1.0,0.0,0.0,0.0,-3.33,301.0,1.03,-16.5896,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001011.0,2.0,0.0,0.0,0.0,0.0,301.0,1.03022,-14.8392,22.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001012.0,1.0,2.99,0.85,0.0,11.3,301.0,1.03,-25.191,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001013.0,1.0,29.23,8.28,0.0,0.0,301.0,1.01428,-15.1971,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001014.0,1.0,2.22,0.63,0.0,0.0,301.0,1.02099,-11.7776,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001015.0,1.0,7.51,2.13,0.0,0.0,301.0,1.03195,-17.9787,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001016.0,1.0,2.89,0.82,0.0,39.43,301.0,1.03,-15.3915,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001017.0,1.0,18.34,5.2,0.0,0.0,301.0,0.996559,-21.1078,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001018.0,1.0,0.07,0.02,0.0,0.0,301.0,1.0003,-19.8254,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001019.0,1.0,61.78,17.5,0.0,261.44,301.0,1.03,-22.082,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001020.0,1.0,0.0,0.0,0.0,71.32,301.0,1.03,-15.1575,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001021.0,2.0,0.0,0.0,0.0,0.0,301.0,1.00587,-8.62704,13.8,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001022.0,1.0,0.0,0.0,0.0,0.0,301.0,1.01661,-16.6531,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001023.0,2.0,0.0,0.0,0.0,0.0,301.0,1.01,-7.77476,13.8,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001024.0,1.0,63.04,17.86,0.0,0.0,301.0,0.999026,-18.8019,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001025.0,1.0,0.0,0.0,0.0,0.0,301.0,1.02427,-14.0817,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001026.0,2.0,0.0,0.0,0.0,0.0,301.0,1.0,-4.61708,13.8,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001027.0,1.0,101.21,28.68,0.0,88.7,301.0,1.03,-25.5841,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001028.0,1.0,10.01,2.84,0.0,0.0,301.0,1.01989,-18.2276,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001029.0,1.0,83.18,23.57,0.0,61.2,301.0,1.03,-24.6101,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001030.0,1.0,24.63,6.98,0.0,0.0,301.0,1.02256,-13.3008,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001031.0,1.0,9.25,2.62,0.0,0.0,301.0,1.02159,-17.4156,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001032.0,1.0,0.0,0.0,0.0,0.0,301.0,1.00988,-12.2347,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001033.0,2.0,0.0,0.0,0.0,61.95,301.0,1.03004,-16.769,230.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001034.0,1.0,0.0,0.0,0.0,0.0,301.0,1.01013,-14.1633,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001035.0,2.0,0.0,0.0,0.0,0.0,301.0,1.00042,-10.8778,13.8,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001036.0,1.0,13.6,3.85,0.0,0.0,301.0,1.00226,-12.4195,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001037.0,1.0,102.24,28.97,0.0,0.0,301.0,0.990493,-22.1747,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001038.0,1.0,0.0,0.0,0.0,0.0,301.0,1.02516,-7.64916,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001039.0,2.0,0.0,0.0,0.0,0.0,301.0,1.0048,-2.33133,22.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001040.0,1.0,44.36,12.57,0.0,0.0,301.0,1.00614,-20.1249,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001041.0,1.0,0.0,0.0,0.0,0.0,301.0,1.00661,-14.9184,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001042.0,2.0,0.0,0.0,0.0,0.0,301.0,1.00661,-14.9184,13.8,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001043.0,2.0,0.0,0.0,0.0,0.0,301.0,1.0,-11.6843,13.8,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001044.0,1.0,14.68,4.16,0.0,0.0,301.0,1.01792,-25.6916,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001045.0,1.0,98.56,27.93,0.0,0.0,301.0,1.00344,-24.0542,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001046.0,1.0,11.08,3.14,0.0,13.12,301.0,1.03,-22.3261,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001047.0,1.0,0.0,0.0,0.0,0.0,301.0,1.01175,-13.1298,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001048.0,2.0,0.0,0.0,0.0,0.0,301.0,1.01175,-13.1298,18.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001049.0,2.0,0.0,0.0,0.0,0.0,301.0,1.01175,-13.1298,18.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001050.0,2.0,0.0,0.0,0.0,0.0,301.0,1.00076,-8.08402,18.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001051.0,2.0,0.0,0.0,0.0,0.0,301.0,1.0,-6.60451,18.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001052.0,2.0,0.0,0.0,0.0,0.0,301.0,1.00416,-8.94709,18.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001053.0,2.0,0.0,0.0,0.0,0.0,301.0,1.02653,-17.1224,230.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001054.0,1.0,14.99,4.25,0.0,0.0,301.0,1.0132,-22.1326,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001055.0,1.0,3.98,1.13,0.0,0.0,301.0,1.00688,-18.4852,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001056.0,1.0,0.0,0.0,0.0,33.22,301.0,1.03,-21.5409,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001057.0,2.0,0.0,0.0,0.0,0.0,301.0,1.03,-21.5409,18.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001058.0,1.0,13.46,3.81,0.0,0.0,301.0,1.02675,-11.1878,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001059.0,2.0,0.0,0.0,0.0,0.0,301.0,1.02675,-11.1878,22.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001060.0,2.0,0.0,0.0,0.0,0.0,301.0,1.02675,-11.1878,22.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001061.0,1.0,0.0,0.0,0.0,0.0,301.0,1.01393,-17.0591,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001062.0,2.0,0.0,0.0,0.0,0.0,301.0,1.01393,-17.0591,13.8,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001063.0,2.0,0.0,0.0,0.0,0.0,301.0,1.01393,-17.0591,13.8,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001064.0,1.0,123.76,35.07,0.0,0.0,301.0,0.993391,-23.7293,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001065.0,1.0,0.0,0.0,0.0,0.0,301.0,1.00912,-14.7391,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001066.0,2.0,0.0,0.0,0.0,0.0,301.0,1.0,-7.23058,13.8,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001067.0,1.0,101.55,28.77,0.0,0.0,301.0,1.00407,-15.5007,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001068.0,1.0,59.4,16.83,0.0,0.0,301.0,0.993472,-16.2849,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001069.0,1.0,0.0,0.0,0.0,0.0,301.0,1.02867,-8.71349,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001070.0,2.0,0.0,0.0,0.0,0.0,301.0,1.04,-4.222,13.8,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001071.0,1.0,91.46,25.91,0.0,0.0,301.0,1.00402,-21.1126,115.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001072.0,2.0,0.0,0.0,0.0,0.0,301.0,1.01,-11.8352,18.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
3001073.0,2.0,0.0,0.0,0.0,0.0,301.0,1.01,-5.53743,18.0,9.0,1.1,0.9,0.0,0.0,0.0,0.0
