fbus,tbus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax,Pf,Qf,Pt,Qt,mu_Sf,mu_St,mu_angmin,mu_angmax
2010002.0,2010001.0,0.057474,0.297874,0.04557,185.33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.71,-3.32,-16.55,-0.56,0.0,0.0,0.0,0.0
2010011.0,2010001.0,0.027895,0.200986,0.06271,167.88,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-6.9,-4.32,6.92,-1.97,0.0,0.0,0.0,0.0
2010014.0,2010002.0,0.028286,0.132954,0.07205,207.43,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.98,-3.42,-32.69,-2.72,0.0,0.0,0.0,0.0
2010004.0,2010003.0,0.012099,0.073288,0.01171,170.67,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.02,0.31,-3.02,-1.55,0.0,0.0,0.0,0.0
2010003.0,2010010.0,0.012423,0.079127,0.01766,201.54,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.04,7.06,-19.99,-8.58,0.0,0.0,0.0,0.0
2010937.0,2010003.0,0.009516,0.050189,0.02744,211.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.5,4.15,-31.41,-6.61,0.0,0.0,0.0,0.0
2010004.0,2010005.0,0.000201,0.001173,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.45,2.75,-10.45,-2.75,0.0,0.0,0.0,0.0
2010004.0,2010937.0,0.019482,0.100643,0.02121,195.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-13.47,-3.05,13.5,0.96,0.0,0.0,0.0,0.0
2010006.0,2010007.0,0.000272,0.001137,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-13.44,-1.28,13.44,1.28,0.0,0.0,0.0,0.0
2010008.0,2010007.0,0.00871,0.065557,0.0156,212.34,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29.2,-6.13,-29.13,5.05,0.0,0.0,0.0,0.0
2010007.0,2013019.0,0.005848,0.038664,0.02062,218.55,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-37.31,11.26,37.4,-12.85,0.0,0.0,0.0,0.0
2010007.0,2013028.0,0.018994,0.103855,0.1879,231.63,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.99,-17.58,-52.47,0.72,0.0,0.0,0.0,0.0
2010008.0,2010009.0,0.000236,0.001046,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.82,2.6,-16.82,-2.59,0.0,0.0,0.0,0.0
2010016.0,2010008.0,0.013033,0.083799,0.0301,229.92,0.0,0.0,0.0,0.0,1.0,0.0,0.0,53.3,-5.44,-52.95,4.56,0.0,0.0,0.0,0.0
2013019.0,2010008.0,0.01355,0.065214,0.032,184.78,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-6.92,-2.29,6.93,-1.02,0.0,0.0,0.0,0.0
2010014.0,2010010.0,0.007781,0.030841,0.02241,197.37,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.52,4.28,-13.5,-6.57,0.0,0.0,0.0,0.0
2010011.0,2010020.0,0.022817,0.11103,0.02458,214.06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-25.12,-3.85,25.26,2.04,0.0,0.0,0.0,0.0
2010013.0,2010012.0,0.000261,0.019344,0.0,473.63,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-198.6,-32.6,198.7,40.01,0.0,0.0,0.0,0.0
2010012.0,2010023.0,0.001396,0.016565,0.31452,1105.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,110.07,-5.96,-109.91,-25.77,0.0,0.0,0.0,0.0
2010012.0,2010987.0,0.000883,0.009393,0.17078,1237.08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-308.77,-34.05,309.56,24.06,0.0,0.0,0.0,0.0
2010014.0,2010013.0,0.002093,0.00845,0.00407,236.46,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-71.52,-12.67,71.62,12.66,0.0,0.0,0.0,0.0
