bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin,lam_P,lam_Q,mu_Vmax,mu_Vmin
2010001.0,1.0,9.64,2.54,0.0,0.0,201.0,1.01147,-38.1709,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010002.0,1.0,15.98,6.04,0.0,0.0,201.0,1.01689,-35.3666,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010003.0,1.0,14.39,1.09,0.0,0.0,201.0,1.03136,-32.3596,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010004.0,1.0,0.0,0.0,0.0,0.0,201.0,1.03237,-32.2465,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010005.0,1.0,10.45,2.75,0.0,0.0,201.0,1.03232,-32.2528,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010006.0,1.0,13.44,1.28,0.0,0.0,201.0,1.02434,-34.0997,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010007.0,1.0,0.0,0.0,0.0,0.0,201.0,1.02439,-34.0916,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010008.0,1.0,0.0,0.0,0.0,0.0,201.0,1.02329,-33.0199,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010009.0,1.0,16.82,2.59,0.0,0.0,201.0,1.02323,-33.0292,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010010.0,1.0,33.49,15.14,0.0,0.0,201.0,1.02291,-33.167,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010011.0,1.0,32.02,8.17,0.0,0.0,201.0,1.0072,-38.9334,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010012.0,1.0,0.0,0.0,0.0,0.0,201.0,1.03538,-30.5845,345.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010013.0,1.0,57.79,30.06,0.0,0.0,201.0,1.02807,-32.6483,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010014.0,1.0,0.0,0.0,0.0,0.0,201.0,1.02557,-32.9625,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010015.0,1.0,25.01,11.8,0.0,0.0,201.0,1.02538,-32.9756,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010016.0,1.0,0.0,0.0,0.0,0.0,201.0,1.02596,-30.5542,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010017.0,1.0,25.89,7.16,0.0,0.0,201.0,1.02582,-30.5694,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010018.0,1.0,24.47,6.19,0.0,0.0,201.0,1.03192,-33.6923,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010019.0,1.0,0.0,0.0,0.0,0.0,201.0,1.03842,-34.8678,345.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010020.0,1.0,53.35,4.54,0.0,32.0,201.0,1.01613,-37.4051,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010021.0,1.0,8.99,2.13,0.0,0.0,201.0,1.02642,-30.1702,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010022.0,1.0,48.19,15.92,0.0,0.0,201.0,1.04038,-34.0146,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010023.0,1.0,0.0,0.0,0.0,0.0,201.0,1.0323,-31.5538,345.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010024.0,1.0,43.96,8.97,0.0,0.0,201.0,1.04381,-33.936,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010025.0,1.0,30.89,12.76,0.0,0.0,201.0,1.03317,-31.027,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010026.0,1.0,18.65,4.97,0.0,0.0,201.0,1.0117,-39.4174,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010027.0,1.0,0.0,0.0,0.0,0.0,201.0,1.00366,-39.4105,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010028.0,1.0,32.23,12.72,0.0,0.0,201.0,1.00345,-39.4275,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010029.0,1.0,32.23,1.85,0.0,0.0,201.0,1.00873,-38.7901,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010030.0,1.0,0.0,0.0,0.0,0.0,201.0,1.03711,-33.374,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010031.0,1.0,39.8,7.18,0.0,0.0,201.0,1.03694,-33.3953,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010032.0,1.0,41.5,5.68,0.0,0.0,201.0,1.03055,-34.4403,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010033.0,1.0,59.05,6.96,0.0,0.0,201.0,1.01617,-30.8359,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010034.0,1.0,0.0,0.0,0.0,0.0,201.0,1.01504,-30.7032,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010035.0,1.0,59.05,42.65,0.0,0.0,201.0,1.01449,-30.732,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010036.0,1.0,0.0,0.0,0.0,0.0,201.0,1.01568,-30.6702,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010037.0,1.0,58.29,11.32,0.0,0.0,201.0,1.03352,-30.3916,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010038.0,1.0,36.59,13.17,0.0,0.0,201.0,1.03545,-34.7241,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010039.0,1.0,0.0,0.0,0.0,0.0,201.0,1.03569,-34.7048,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010040.0,1.0,43.57,13.69,0.0,0.0,201.0,1.02995,-35.4093,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010041.0,1.0,20.08,9.93,0.0,0.0,201.0,1.03195,-29.636,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010042.0,1.0,59.25,11.36,0.0,0.0,201.0,1.03269,-31.5011,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010043.0,1.0,0.0,0.0,0.0,0.0,201.0,1.02126,-37.1461,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010044.0,1.0,37.54,1.74,0.0,0.0,201.0,1.02116,-37.17,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010045.0,1.0,25.35,12.91,0.0,0.0,201.0,1.02228,-30.4386,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010046.0,1.0,0.0,0.0,0.0,0.0,201.0,1.02195,-32.8262,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010047.0,1.0,45.76,5.94,0.0,0.0,201.0,1.02179,-32.8508,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010048.0,1.0,45.76,10.24,0.0,0.0,201.0,1.02232,-32.8003,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010049.0,1.0,0.0,0.0,0.0,0.0,201.0,1.02253,-32.7752,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010050.0,1.0,0.0,0.0,0.0,0.0,201.0,1.02232,-32.8003,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010051.0,1.0,0.0,0.0,0.0,0.0,201.0,1.01366,-39.1595,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010052.0,1.0,17.51,1.94,0.0,0.0,201.0,1.0136,-39.1705,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010053.0,1.0,43.68,4.56,0.0,0.0,201.0,1.02659,-31.9875,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010054.0,1.0,43.32,16.13,0.0,0.0,201.0,1.0044,-39.3998,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
2010055.0,1.0,17.57,5.16,0.0,0.0,201.0,1.026,-33.0626,138.0,1.0,1.1,0.9,0.0,0.0,0.0,0.0
