bus,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf,mu_Pmax,mu_Pmin,mu_Qmax,mu_Qmin
2010683.0,0.0,0.0,61.16,-7.8,1.0464,207.74,0.0,159.27,52.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.27,0.0,0.0,0.0,0.0
2010684.0,85.29,56.74,61.16,-7.8,1.0201,201.13,1.0,159.267,32.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.267,0.0,0.0,0.0,0.0
2010685.0,138.65,56.74,61.16,-7.8,1.0201,217.36,1.0,159.267,56.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.267,0.0,0.0,0.0,0.0
2010686.0,0.0,0.0,61.16,-7.8,1.0464,214.15,0.0,159.267,56.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.267,0.0,0.0,0.0,0.0
2010687.0,120.63,56.74,61.16,-7.8,1.0188,188.08,1.0,159.267,39.988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.267,0.0,0.0,0.0,0.0
2010688.0,109.93,56.74,61.16,-7.8,1.0206,201.28,1.0,159.267,19.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.267,0.0,0.0,0.0,0.0
2010689.0,9.02,4.95,4.95,-0.63,1.0014,12.9,1.0,12.9,1.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,0.0,0.0,0.0,0.0
2010691.0,59.72,21.07,21.07,-14.24,1.0061,98.92,1.0,98.9,16.649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.9,0.0,0.0,0.0,0.0
2010694.0,23.02,5.33,13.44,-1.71,1.0493,35.08,1.0,35.0,3.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
2010695.0,25.55,5.33,13.44,-1.71,1.0494,41.36,1.0,35.0,13.697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
2010699.0,79.42,-14.5,21.45,-14.5,1.0019,120.64,1.0,100.7,13.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.7,0.0,0.0,0.0,0.0
2010703.0,136.3,29.03,29.03,-19.63,1.0623,174.64,1.0,136.3,43.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.3,0.0,0.0,0.0,0.0
2010710.0,171.16,-10.61,83.17,-10.61,1.0097,238.48,1.0,216.6,77.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.6,0.0,0.0,0.0,0.0
2010711.0,189.67,-10.61,83.17,-10.61,1.0101,219.83,1.0,216.6,69.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.6,0.0,0.0,0.0,0.0
2010712.0,135.95,-10.61,83.17,-10.61,1.0098,219.92,1.0,216.6,52.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.6,0.0,0.0,0.0,0.0
2010713.0,189.37,-10.61,83.17,-10.61,1.0101,259.93,1.0,216.6,81.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.6,0.0,0.0,0.0,0.0
2010714.0,0.0,0.0,83.17,-10.61,1.0297,235.85,0.0,216.6,42.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.6,0.0,0.0,0.0,0.0
2010715.0,172.43,-10.61,83.17,-10.61,1.0167,279.75,1.0,216.6,92.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.6,0.0,0.0,0.0,0.0
2010722.0,0.0,0.0,40.28,-5.14,1.0345,131.4,0.0,104.9,32.777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.9,0.0,0.0,0.0,0.0
2010723.0,82.25,40.28,40.28,-5.14,1.0008,152.84,1.0,104.9,41.806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.9,0.0,0.0,0.0,0.0
2010724.0,104.9,40.28,40.28,-5.14,1.0019,115.76,1.0,104.9,11.526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.9,0.0,0.0,0.0,0.0
2010725.0,71.29,40.28,40.28,-5.14,1.0027,116.27,1.0,104.9,16.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.9,0.0,0.0,0.0,0.0
2010726.0,71.08,40.28,40.28,-5.14,1.003,106.56,1.0,104.9,31.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.9,0.0,0.0,0.0,0.0
2010727.0,0.0,0.0,40.28,-5.14,1.0345,122.59,0.0,104.9,28.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.9,0.0,0.0,0.0,0.0
2010728.0,23.81,-1.05,10.73,-1.37,1.0177,32.27,1.0,27.95,13.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.95,0.0,0.0,0.0,0.0
