model,startup,shutdown,n,c2,c1,c0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.00134,27.206,1123.88
2.0,0.0,0.0,3.0,0.00134,35.3278,1123.88
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.00134,32.1077,887.817
2.0,0.0,0.0,3.0,0.00134,33.4317,887.817
2.0,0.0,0.0,3.0,0.00134,32.3007,887.817
2.0,0.0,0.0,3.0,0.00134,31.1563,887.817
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,8.0,1000.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.0,0.0,0.0
2.0,0.0,0.0,3.0,0.00134,30.292,982.689
2.0,0.0,0.0,3.0,0.00134,30.7919,982.689
